Word,size,Length
introduction,2,12
indebtedness,1,12
publications,1,12
pachydermata,1,12
rhinoceroses,1,12
periodically,1,12
mahomedanism,1,12
unmistakable,1,12
ethnologists,1,12
particularly,3,12
ethnological,1,12
descriptions,1,12
communicated,1,12
architecture,1,12
affectionate,1,12
inhospitable,1,12
intelligence,1,12
argillaceous,1,12
restrictions,1,12
nevertheless,1,12
incomputable,1,12
incidentally,1,12
occasionally,3,12
recognisable,1,12
accompanying,1,12
supraorbital,2,12
neighbouring,1,12
deliberately,1,12
geographical,1,12
distribution,1,12
considerably,2,12
familiarised,2,12
indifference,1,12
superciliary,3,12
unfrequently,1,12
domesticated,1,12
satisfaction,1,12
irresistibly,1,12
emphatically,1,12
circumstance,1,12
substituting,1,12
communicates,1,12
unfrequented,1,12
considerable,1,12
interspersed,1,12
performances,1,12
